cancer_type,gene,mutated_samples,total_samples,mutation_frequency
LUAD,ROBO2,7,50,14.000000000000002
LUAD,SCN5A,7,50,14.000000000000002
LUAD,SLIT3,7,50,14.000000000000002
LUAD,SORCS1,7,50,14.000000000000002
LUAD,SPTAN1,7,50,14.000000000000002
LUAD,SYT10,7,50,14.000000000000002
LUAD,TRIML1,7,50,14.000000000000002
LUAD,TRPS1,7,50,14.000000000000002
LUAD,WDFY3,7,50,14.000000000000002
LUAD,WSCD2,7,50,14.000000000000002
LUAD,XYLT1,7,50,14.000000000000002
LUAD,ZNF521,7,50,14.000000000000002
LUAD,ZNF804B,7,50,14.000000000000002
LUAD,ACAN,6,50,12.0
LUAD,ADAM2,6,50,12.0
LUAD,ADAMTS4,6,50,12.0
LUAD,ADGRL3,6,50,12.0
LUAD,AFF2,6,50,12.0
LUAD,AKAP6,6,50,12.0
LUAD,ALK,6,50,12.0
LUAD,ANKRD12,6,50,12.0
LUAD,BRAF,6,50,12.0
LUAD,CACNA1C,6,50,12.0
LUAD,CCNB3,6,50,12.0
LUAD,CDH9,6,50,12.0
LUAD,CHL1,6,50,12.0
LUAD,CNTNAP2,6,50,12.0
LUAD,COL12A1,6,50,12.0
LUAD,COL5A1,6,50,12.0
LUAD,CRB1,6,50,12.0
LUAD,DCAF12L2,6,50,12.0
LUAD,DISP3,6,50,12.0
LUAD,DLG5,6,50,12.0
LUAD,DNAH11,6,50,12.0
LUAD,DNAH3,6,50,12.0
LUAD,DOCK10,6,50,12.0
LUAD,DSC3,6,50,12.0
LUAD,ELAPOR2,6,50,12.0
LUAD,EPHA5,6,50,12.0
LUAD,EPHB6,6,50,12.0
LUAD,ERBB4,6,50,12.0
LUAD,EYS,6,50,12.0
LUAD,FAM13C,6,50,12.0
LUAD,FAM47A,6,50,12.0
LUAD,FANCM,6,50,12.0
LUAD,FBN3,6,50,12.0
LUAD,FCRL3,6,50,12.0
LUAD,FCRL5,6,50,12.0
LUAD,FLG2,6,50,12.0
LUAD,GPR149,6,50,12.0
LUAD,GRID2,6,50,12.0
LUAD,GRIK2,6,50,12.0
LUAD,GRIN2A,6,50,12.0
LUAD,GRIN3A,6,50,12.0
LUAD,HCN1,6,50,12.0
LUAD,HRNR,6,50,12.0
LUAD,ICE1,6,50,12.0
LUAD,ITGA8,6,50,12.0
LUAD,KCNB2,6,50,12.0
LUAD,KCNK18,6,50,12.0
LUAD,KDR,6,50,12.0
LUAD,KIAA1549L,6,50,12.0
LUAD,KMT2C,6,50,12.0
LUAD,LRFN5,6,50,12.0
LUAD,LRP2,6,50,12.0
LUAD,LRRC32,6,50,12.0
LUAD,MYH13,6,50,12.0
LUAD,MYO3A,6,50,12.0
LUAD,NLGN1,6,50,12.0
LUAD,NLRP12,6,50,12.0
LUAD,OBSCN,6,50,12.0
LUAD,OGDHL,6,50,12.0
LUAD,OGT,6,50,12.0
LUAD,OR10Z1,6,50,12.0
LUAD,OR2M2,6,50,12.0
LUAD,OR2M5,6,50,12.0
LUAD,OR2T12,6,50,12.0
LUAD,OR2W3,6,50,12.0
LUAD,OR4C16,6,50,12.0
LUAD,OR51S1,6,50,12.0
LUAD,OVCH1,6,50,12.0
LUAD,PCDH10,6,50,12.0
LUAD,PCDHA1,6,50,12.0
LUAD,PCNX1,6,50,12.0
LUAD,PDZRN3,6,50,12.0
LUAD,SEMA6D,6,50,12.0
LUAD,SIGLEC10,6,50,12.0
LUAD,SLIT2,6,50,12.0
LUAD,SLITRK5,6,50,12.0
LUAD,SOX6,6,50,12.0
LUAD,SPATA31A3,6,50,12.0
LUAD,SPEF2,6,50,12.0
LUAD,SPEG,6,50,12.0
LUAD,STAB2,6,50,12.0
LUAD,SVEP1,6,50,12.0
LUAD,TENM3,6,50,12.0
LUAD,THSD7A,6,50,12.0
LUAD,TINAG,6,50,12.0
LUAD,UGT2B4,6,50,12.0
LUAD,ZNF423,6,50,12.0
LUAD,ZP4,6,50,12.0
LUAD,ZSWIM2,6,50,12.0
LUAD,ABCA12,5,50,10.0
LUAD,ABCB7,5,50,10.0
LUAD,ADAMTS3,5,50,10.0
LUAD,ADAMTS6,5,50,10.0
LUAD,ADAMTSL3,5,50,10.0
LUAD,AHNAK,5,50,10.0
LUAD,AK5,5,50,10.0
LUAD,AMER1,5,50,10.0
LUAD,ARHGEF12,5,50,10.0
LUAD,ASAH2,5,50,10.0
LUAD,ASPM,5,50,10.0
LUAD,ASXL3,5,50,10.0
LUAD,ATP2B2,5,50,10.0
LUAD,ATP8A2,5,50,10.0
LUAD,BIRC6,5,50,10.0
LUAD,BNC2,5,50,10.0
LUAD,C7,5,50,10.0
LUAD,CACNA1F,5,50,10.0
LUAD,CACNA1H,5,50,10.0
LUAD,CACNA1S,5,50,10.0
LUAD,CASR,5,50,10.0
LUAD,CD163L1,5,50,10.0
LUAD,CDH5,5,50,10.0
LUAD,CDH6,5,50,10.0
LUAD,CDH7,5,50,10.0
LUAD,CES5A,5,50,10.0
LUAD,CHRM2,5,50,10.0
LUAD,CLCN1,5,50,10.0
LUAD,COL22A1,5,50,10.0
LUAD,COL5A2,5,50,10.0
LUAD,CTNNA2,5,50,10.0
LUAD,CTNND2,5,50,10.0
LUAD,CYLC1,5,50,10.0
LUAD,DCDC1,5,50,10.0
LUAD,DLGAP1,5,50,10.0
LUAD,DNAH17,5,50,10.0
LUAD,DSCAML1,5,50,10.0
LUAD,EFHB,5,50,10.0
LUAD,ELOA2,5,50,10.0
LUAD,EMILIN2,5,50,10.0
LUAD,FCGBP,5,50,10.0
LUAD,FCRL2,5,50,10.0
LUAD,FRAS1,5,50,10.0
LUAD,FSIP2,5,50,10.0
LUAD,FSTL5,5,50,10.0
LUAD,GAB4,5,50,10.0
LUAD,GABRA2,5,50,10.0
LUAD,GLI3,5,50,10.0
LUAD,GNAO1,5,50,10.0
LUAD,GPC6,5,50,10.0
LUAD,GRIN2B,5,50,10.0
LUAD,GRM5,5,50,10.0
LUAD,GRM7,5,50,10.0
LUAD,HDAC9,5,50,10.0
LUAD,HELZ,5,50,10.0
LUAD,HEPH,5,50,10.0
LUAD,HIVEP2,5,50,10.0
LUAD,HUWE1,5,50,10.0
LUAD,IGF2R,5,50,10.0
LUAD,IL31RA,5,50,10.0
LUAD,IMPG1,5,50,10.0
LUAD,IRS1,5,50,10.0
LUAD,KALRN,5,50,10.0
LUAD,KCNU1,5,50,10.0
LUAD,KMT2D,5,50,10.0
LUAD,KRTAP11-1,5,50,10.0
LUAD,L1CAM,5,50,10.0
LUAD,LRP1,5,50,10.0
LUAD,LRRC66,5,50,10.0
LUAD,MAGEC2,5,50,10.0
LUAD,MAGEC3,5,50,10.0
LUAD,MAGI2,5,50,10.0
LUAD,MDC1,5,50,10.0
LUAD,MEGF10,5,50,10.0
LUAD,MMP2,5,50,10.0
LUAD,MMRN1,5,50,10.0
LUAD,MRC1,5,50,10.0
LUAD,MROH2B,5,50,10.0
LUAD,MS4A14,5,50,10.0
LUAD,MTOR,5,50,10.0
LUAD,MTR,5,50,10.0
LUAD,MTUS2,5,50,10.0
LUAD,MUC5AC,5,50,10.0
